HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:34072	C1QTNF9B	C1q and TNF related 9B	Approved		CTRP9B	13q12.12	BC110413	NM_001007537
HGNC:20290	CAB39L	calcium binding protein 39 like	Approved		bA103J18.3, FLJ12577, MO2L	13q14.2	AK022639	NM_030925
HGNC:1448	CALM2P3	calmodulin 2 pseudogene 3	Approved			13q14.11	X52956	
HGNC:39661	CALM2P4	calmodulin 2 pseudogene 4	Approved			13q32.2		
HGNC:25695	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	Approved		FLJ12118	13q34	BC007220	NM_024537
HGNC:39251	CASC4P1	cancer susceptibility 4 pseudogene 1	Approved			13q12.11		
HGNC:25303	CCDC70	coiled-coil domain containing 70	Approved		DKFZP434K1172, FLJ25853	13q14.3		NM_031290
HGNC:26478	CCDC122	coiled-coil domain containing 122	Approved		FLJ31846	13q14.11	AK056408	NM_144974
HGNC:26851	CCDC168	coiled-coil domain containing 168	Approved	C13orf40	FLJ40176	13q33.1		NM_001146197
HGNC:34361	CCDC169	coiled-coil domain containing 169	Approved	C13orf38	RP11-251J8.1, LOC728591	13q13.3		NM_001144981
HGNC:38866	CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough	Approved	C13orf38-SOHLH2		13q13.3		NM_001198910.1
HGNC:1577	CCNA1	cyclin A1	Approved		CT146	13q13.3	U66838	NM_003914
HGNC:39812	CCR12P	C-C motif chemokine receptor 12, pseudogene	Approved	GPR183P1		13q32.3		
HGNC:35139	CCT5P2	chaperonin containing TCP1 subunit 5 pseudogene 2	Approved			13q31.1		
HGNC:20299	CDADC1	cytidine and dCMP deaminase domain containing 1	Approved		NYD-SP15	13q14.2	AY027525	NM_030911
HGNC:1720	CDC16	cell division cycle 16	Approved		APC6, ANAPC6, CUT9	13q34	U18291	NM_003903
HGNC:1779	CDK8	cyclin dependent kinase 8	Approved		K35	13q12.13	X85753	
HGNC:39853	CDKN2AIPNLP3	CDKN2A interacting protein N-terminal like pseudogene 3	Approved			13q14.11		
HGNC:1806	CDX2	caudal type homeobox 2	Approved	CDX3		13q12.2	Y13709	
HGNC:43675	CEND1P2	cell cycle exit and neuronal differentiation 1 pseudogene 2	Approved			13q12.12		
HGNC:39575	CENPIP1	centromere protein I pseudogene 1	Approved			13q12.11		
HGNC:17272	CENPJ	centromere protein J	Approved	MCPH6	CPAP, BM032, LAP, LIP1, Sas-4, SASS4, SCKL4	13q12.12-q12.13	AF139625	NM_018451
HGNC:39960	CFL1P8	cofilin 1 pseudogene 8	Approved			13q32.3		
HGNC:20311	CHAMP1	chromosome alignment maintaining phosphoprotein 1	Approved	C13orf8, ZNF828	CAMP, CHAMP	13q34	AK074894	NM_032436
HGNC:39592	CHCHD2P8	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 8	Approved			13q12.2		
HGNC:49029	CHCHD2P11	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 11	Approved			13q14.11		
HGNC:1990	CKAP2	cytoskeleton associated protein 2	Approved		LB1, FLJ10749, se20-10, TMAP	13q14.3	AF177227	
HGNC:42536	CLCP2	Charcot-Leyden crystal protein pseudogene 2	Approved		LGALS10P1	13q34	BK006815	NG_011415
HGNC:2033	CLDN10	claudin 10	Approved		OSP-L, CPETRL3	13q32.1	U89916	NM_006984
HGNC:39907	CLDN10-AS1	CLDN10 antisense RNA 1	Approved			13q32.1		
HGNC:2076	CLN5	ceroid-lipofuscinosis, neuronal 5	Approved			13q22.3		NM_006493
HGNC:51572	CLUHP9	clustered mitochondria homolog pseudogene 9	Approved			13q12.12		
HGNC:18355	CLYBL	citrate lyase beta like	Approved		CLB	13q32.3	AF428253	
HGNC:39893	CLYBL-AS1	CLYBL antisense RNA 1	Approved			13q32.3		
HGNC:39894	CLYBL-AS2	CLYBL antisense RNA 2	Approved			13q32.3		
HGNC:17005	CNMD	chondromodulin	Approved	MYETS1, LECT1	CHM-I, CHM1, BRICD3	13q14.3	AB006000	
HGNC:39834	CNN2P12	calponin 2 pseudogene 12	Approved			13q11		
HGNC:39272	CNOT4P1	CCR4-NOT transcription complex subunit 4 pseudogene 1	Approved			13q12.11		
HGNC:18619	COG3	component of oligomeric golgi complex 3	Approved		SEC34	13q14.13	AF131829	
HGNC:18621	COG6	component of oligomeric golgi complex 6	Approved		COD2, KIAA1134	13q14.11	AK026638	
HGNC:2202	COL4A1	collagen type IV alpha 1 chain	Approved			13q34	J04217	
HGNC:2203	COL4A2	collagen type IV alpha 2 chain	Approved		FLJ22259, DKFZp686I14213	13q34	AK025912	NM_001846
HGNC:40156	COL4A2-AS1	COL4A2 antisense RNA 1	Approved			13q34		
HGNC:39849	COL4A2-AS2	COL4A2 antisense 2	Approved			13q34		
HGNC:24015	COMMD6	COMM domain containing 6	Approved		Acrg	13q22.2	AY542161	XM_085023
HGNC:38036	COX4I1P2	cytochrome c oxidase subunit 4I1 pseudogene 2	Approved			13q14.13		
HGNC:2275	COX5BP6	cytochrome c oxidase subunit 5B pseudogene 6	Approved	COX5BL6		13q32.3		
HGNC:2293	COX7CP1	cytochrome c oxidase subunit 7C pseudogene 1	Approved			13q14.2	AF042165	
HGNC:24341	COX17P1	COX17, cytochrome c oxidase copper chaperone pseudogene 1	Approved	COX17P		13q14.13		
HGNC:2300	CPB2	carboxypeptidase B2	Approved		CPU, PCPB, TAFI	13q14.13	M75106	NM_001872
HGNC:39898	CPB2-AS1	CPB2 antisense RNA 1	Approved			13q14.13		
HGNC:18246	CRYL1	crystallin lambda 1	Approved		GDH, lambda-CRY, MGC149525, MGC149526	13q12.11	AF077049	NM_015974
HGNC:20289	CSNK1A1L	casein kinase 1 alpha 1 like	Approved		MGC33182	13q13.3	BC028723	NM_145203
HGNC:24348	CTAGE3P	CTAGE family member 3, pseudogene	Approved	CTAGE3	cTAGE-3	13q14.3	AF338231	
HGNC:37288	CTAGE10P	CTAGE family member 10, pseudogene	Approved			13q14.2		NR_003268
HGNC:37293	CTAGE11P	CTAGE family member 11, pseudogene	Approved			13q22.2		NR_027466
HGNC:41967	CTAGE16P	CTAGE family member 16, pseudogene	Approved			13q21.1		
HGNC:2554	CUL4A	cullin 4A	Approved			13q34	U58090	NM_003589
HGNC:24406	CYCSP32	cytochrome c, somatic pseudogene 32	Approved		HCP32	13q12.11	AF533193	NG_002981
HGNC:24407	CYCSP33	cytochrome c, somatic pseudogene 33	Approved		HCP33	13q12.12	AF533194	NG_002982
HGNC:24408	CYCSP34	cytochrome c, somatic pseudogene 34	Approved		HCP34	13q14.11	AF533195	NG_002983
HGNC:24409	CYCSP35	cytochrome c, somatic pseudogene 35	Approved		HCP35, HC8	13q32.2	M22891	NG_002984
HGNC:39953	CYP4F34P	cytochrome P450 family 4 subfamily F member 34, pseudogene	Approved		CYP4F-se7[6:7:8]	13q11		NG_024825
HGNC:20251	CYP51A1P2	cytochrome P450 family 51 subfamily A member 1 pseudogene 2	Approved	CYP51P2		13q12.3	U40053	
HGNC:18274	CYSLTR2	cysteinyl leukotriene receptor 2	Approved		CysLT(2), CYSLT2R	13q14.2	AB038269	
HGNC:2663	DACH1	dachshund family transcription factor 1	Approved	DACH		13q21.33	AJ005670	NM_004392
HGNC:21191	DAOA	D-amino acid oxidase activator	Approved		G72	13q33.2	AY138547	NM_172370
HGNC:30243	DAOA-AS1	DAOA antisense RNA 1	Approved	DAOAAS, DAOA-AS	G30	13q33.2	AY138548	
HGNC:2700	DCLK1	doublecortin like kinase 1	Approved	DCAMKL1	KIAA0369, DCLK, DCDC3A	13q13.3	AB002367	NM_004734
HGNC:2709	DCT	dopachrome tautomerase	Approved	TYRP2		13q32.1	D17547	
HGNC:20328	DCUN1D2	defective in cullin neddylation 1 domain containing 2	Approved	C13orf17	FLJ10704, FLJ20092	13q34	AK001566	NM_018185
HGNC:39889	DCUN1D2-AS	DCUN1D2 antisense RNA	Approved	DCUN1D2-AS2		13q34	AI203167	
HGNC:37806	DDX6P2	DEAD-box helicase 6 pseudogene 2	Approved			13q31.1		
HGNC:39664	DDX39AP1	DEAD-box helicase 39A pseudogene 1	Approved			13q12.12		
HGNC:2805	DFNA33	deafness, autosomal dominant 33	Approved			13q34-qter		
HGNC:2854	DGKH	diacylglycerol kinase eta	Approved		DGKeta	13q14.11	AB078967	NM_178009
HGNC:39263	DGKZP1	diacylglycerol kinase zeta pseudogene 1	Approved			13q14.11		NG_005323
HGNC:25832	DHRS12	dehydrogenase/reductase 12	Approved		FLJ13639, SDR40C1	13q14.3	AK023701	NM_024705
HGNC:2751	DHX9P1	DEAH-box helicase 9 pseudogene 1	Approved	DDX9P, DHX9P		13q22.3		NG_002657
HGNC:15480	DIAPH3	diaphanous related formin 3	Approved	AUNA1	DRF3, FLJ34705, AN, NSDAN	13q21.2	AL137718	NM_001042517
HGNC:39915	DIAPH3-AS1	DIAPH3 antisense RNA 1	Approved			13q21.2		
HGNC:39916	DIAPH3-AS2	DIAPH3 antisense RNA 2	Approved			13q21.2		
HGNC:20604	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	Approved	KIAA1008	dis3p, RRP44, EXOSC11	13q21.33	AB023225	NM_014953
HGNC:13747	DLEU1	deleted in lymphocytic leukemia 1	Approved	DLB1, BCMS	LEU1, XTP6, NCRNA00021, LINC00021, BCMS1	13q14.2-q14.3	Y15227	NR_002605
HGNC:50496	DLEU1-AS1	DLEU1 antisense RNA 1	Approved		LINC01308	13q14.3	BM264234	
HGNC:13748	DLEU2	deleted in lymphocytic leukemia 2 (non-protein coding)	Approved	DLB2, BCMSUN, RFP2OS	LEU2, TRIM13OS, NCRNA00022, LINC00022, MIR15AHG	13q14.2	Y15228	NR_002612
HGNC:17567	DLEU7	deleted in lymphocytic leukemia, 7	Approved		FLJ44882	13q14.3	AK126830	NM_198989
HGNC:39966	DLEU7-AS1	DLEU7 antisense RNA 1	Approved			13q14.3		
HGNC:39337	DNAJA1P1	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 1	Approved			13q21.1		NG_011453
HGNC:9439	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	Approved	PRKRI	P58, P58IPK, HP58, ERdj6	13q32.1	U28424	
HGNC:39808	DNAJC3-AS1	DNAJC3 antisense RNA 1 (head to head)	Approved			13q32.1		
HGNC:20325	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	Approved	DNAJD1	MCJ	13q14.11	AF126743	NM_013238
HGNC:14132	DOCK9	dedicator of cytokinesis 9	Approved		KIAA1058, ZIZ1	13q32.3	AF527605	NM_015296
HGNC:40672	DOCK9-AS1	DOCK9 antisense RNA 1	Approved			13q32.3	AI027206	
HGNC:43696	DOCK9-AS2	DOCK9 antisense RNA 2 (head to head)	Approved			13q32.3	AF339771	
HGNC:49062	DPPA3P3	developmental pluripotency associated 3 pseudogene 3	Approved			13q31.1		
HGNC:20908	DZIP1	DAZ interacting zinc finger protein 1	Approved		KIAA0996, DZIP	13q32.1	AB023213	NM_014934
HGNC:18061	EBPL	emopamil binding protein like	Approved		EBRP	13q14.2	AF243433	NM_032565
HGNC:3180	EDNRB	endothelin receptor type B	Approved	HSCR2, HSCR	ETB	13q22.3	L06623	
HGNC:49045	EDNRB-AS1	EDNRB antisense RNA 1	Approved			13q22.3	BC031243	NR_103853
HGNC:3194	EEF1A1P3	eukaryotic translation elongation factor 1 alpha 1 pseudogene 3	Approved	EEF1AL, EEF1AL1		13q12.2		
HGNC:27351	EEF1AKMT1	EEF1A lysine methyltransferase 1	Approved	N6AMT2		13q12.11	AK055408	NM_174928
HGNC:30486	EEF1DP3	eukaryotic translation elongation factor 1 delta pseudogene 3	Approved			13q13.1		NR_027062
HGNC:3227	EFNB2	ephrin B2	Approved	EPLG5	LERK5, Htk-L, HTKL, MGC126226, MGC126227, MGC126228	13q33.3	L38734	NM_004093
HGNC:28863	EIF3FP2	eukaryotic translation initiation factor 3 subunit F pseudogene 2	Approved		IFP38	13q11		
HGNC:37924	EIF4A1P5	eukaryotic translation initiation factor 4A1 pseudogene 5	Approved			13q13.3		NG_011401
HGNC:37925	EIF4A1P6	eukaryotic translation initiation factor 4A1 pseudogene 6	Approved			13q21.2		
HGNC:37926	EIF4A1P7	eukaryotic translation initiation factor 4A1 pseudogene 7	Approved			13q12.3		NG_011333
HGNC:3316	ELF1	E74 like ETS transcription factor 1	Approved			13q14.11	M82882	NM_172373
HGNC:39345	ELL2P3	elongation factor for RNA polymerase II 2 pseudogene 3	Approved			13q21.33		NG_028874
HGNC:39719	ELOBP1	elongin B pseudogene 1	Approved	TCEB2P1		13q12.13		
HGNC:38159	ELOCP23	elongin C pseudogene 23	Approved	TCEB1P23		13q22.3		
HGNC:25474	ENOX1	ecto-NOX disulfide-thiol exchanger 1	Approved		FLJ10094, PIG38, CNOX, cCNOX	13q14.11	EF432052	NM_017993
HGNC:42396	ENOX1-AS1	ENOX1 antisense RNA 1	Approved			13q14.11		
HGNC:42397	ENOX1-AS2	ENOX1 antisense RNA 2	Approved			13q14.11		
HGNC:3369	ENUR1	enuresis, nocturnal 1	Approved			13q13-q14.3		
HGNC:16465	EPSTI1	epithelial stromal interaction 1	Approved		BRESI1, MGC29634	13q14.11	AF396928	NM_001002264
HGNC:3437	ERCC5	ERCC excision repair 5, endonuclease	Approved	ERCM2, XPGC		13q33.1	X71342	
HGNC:26523	ERICH6B	glutamate rich 6B	Approved	FAM194B	FLJ32682	13q14.13		NM_182542
HGNC:49313	ERVW-25	endogenous retrovirus group W member 25	Approved			13q13.3	HG421063	
HGNC:3465	ESD	esterase D	Approved			13q14.2	M13450	
HGNC:3472	ESRRAP1	estrogen-related receptor alpha pseudogene 1	Approved	ESRRAP		13q12.11	AL359457	NG_001009
HGNC:24647	ESRRAP2	estrogen-related receptor alpha pseudogene 2	Approved		ESTRRA	13q12.11	U85258	NR_000033
HGNC:17035	EXOSC8	exosome component 8	Approved		OIP2, RRP43, bA421P11.3, Rrp43p, EAP2, p9, CIP3	13q13.3	AF025438	NM_181503
HGNC:3544	F7	coagulation factor VII	Approved			13q34		NM_000131
HGNC:3528	F10	coagulation factor X	Approved			13q34		
HGNC:40225	F10-AS1	F10 antisense RNA 1	Approved			13q34		
HGNC:3558	FABP3P2	fatty acid binding protein 3 pseudogene 2	Approved		FABP3-ps, FABP3P	13q14.11	U72237	
HGNC:31059	FABP5P1	fatty acid binding protein 5 pseudogene 1	Approved	FABP5L1	FABP5	13q22.1		NG_006997
HGNC:31060	FABP5P2	fatty acid binding protein 5 pseudogene 2	Approved	FABP5L2		13q14.3		NG_009322
HGNC:31061	FABP5P4	fatty acid binding protein 5 pseudogene 4	Approved	FABP5L4		13q31.3		
HGNC:42022	FAM58DP	family with sequence similarity 58 member D, pseudogene	Approved			13q12.11		
HGNC:26413	FAM124A	family with sequence similarity 124 member A	Approved		FLJ30707	13q14.3	AK096364	NM_145019
HGNC:33877	FAM155A	family with sequence similarity 155 member A	Approved			13q33.3	L10374	NM_001080396
HGNC:41503	FAM155A-IT1	FAM155A intronic transcript 1	Approved			13q33.3		
HGNC:42012	FAM204CP	family with sequence similarity 204 member C, pseudogene	Approved			13q22.2		
HGNC:39851	FAM206BP	family with sequence similarity 206 member B, pseudogene	Approved			13q14.13		
HGNC:39715	FAM207BP	family with sequence similarity 207 member B, pseudogene	Approved			13q11		
HGNC:26883	FAM216B	family with sequence similarity 216 member B	Approved	C13orf30	FLJ40919	13q14.11	AK098238	NM_182508
HGNC:24482	FAM230C	family with sequence similarity 230 member C	Approved	NCRNA00281, LINC00281	DKFZP434B061	13q11	AK097777, BC040613	
HGNC:39675	FAR1P1	fatty acyl-CoA reductase 1 pseudogene 1	Approved			13q31.3		
HGNC:3591	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	Approved		CDEP, PLEKHC2, MGC87400, PPP1R75	13q32.2	AB008430	NM_005766
HGNC:40229	FARP1-AS1	FARP1 antisense RNA 1	Approved			13q32.2		
HGNC:13599	FBXL3	F-box and leucine rich repeat protein 3	Approved	FBXL3A	FBL3, FBL3A	13q22.3	AF129532	
HGNC:39832	FEM1AP4	fem-1 homolog A pseudogene 4	Approved			13q11		
HGNC:3687	FGF9	fibroblast growth factor 9	Approved			13q12.11	D14838	
HGNC:3671	FGF14	fibroblast growth factor 14	Approved		FHF4, SCA27	13q33.1		
HGNC:40237	FGF14-AS1	FGF14 antisense RNA 1	Approved			13q33.1	AI217925	
HGNC:44368	FGF14-AS2	FGF14 antisense RNA 2	Approved			13q33.1	BC033993, BM674599, BX096285	NR_036487
HGNC:42774	FGF14-IT1	FGF14 intronic transcript 1	Approved			13q33.1		
HGNC:39706	FGFR1OP2P1	FGFR1 oncogene partner 2 pseudogene 1	Approved			13q12.13		
HGNC:39442	FHP1	fumarate hydratase pseudogene 1	Approved			13q14.11		
HGNC:3716	FKBP1AP3	FK506 binding protein 1A pseudogene 3	Approved	FKBP1P3		13q14.13	M80200	
HGNC:3763	FLT1	fms related tyrosine kinase 1	Approved	FLT	VEGFR1	13q12.3	AF063657	NM_002019
HGNC:3765	FLT3	fms related tyrosine kinase 3	Approved		STK1, FLK2, CD135	13q12.2	U02687	
HGNC:20296	FNDC3A	fibronectin type III domain containing 3A	Approved	FNDC3	bA203I16.5, KIAA0970	13q14.2	AB023187	NM_014923
HGNC:3784	FNTAP2	farnesyltransferase, CAAX box, alpha pseudogene 2	Approved	FNTAL2		13q12.11		NG_005138
HGNC:3819	FOXO1	forkhead box O1	Approved	FKHR, FOXO1A	FKH1	13q14.11		NM_002015
HGNC:3850	FRA13A	fragile site, aphidicolin type, common, fra(13)(q13.2)	Approved			13q13.2		
HGNC:3851	FRA13B	fragile site, BrdU type, common, fra(13)(q21)	Approved			13q21		
HGNC:3852	FRA13C	fragile site, aphidicolin type, common, fra(13)(q21.2)	Approved			13q21.2		
HGNC:3853	FRA13D	fragile site, aphidicolin type, common, fra(13)(q32)	Approved			13q32		
HGNC:25396	FREM2	FRAS1 related extracellular matrix protein 2	Approved		DKFZp686J0811	13q13.3	BX538150	NM_207361
HGNC:39964	FREM2-AS1	FREM2 antisense RNA 1	Approved			13q13.3		
HGNC:20367	FRY	FRY microtubule binding protein	Approved	C13orf14	bA37E23.1, 13CDNA73, CG003	13q13.1	AL049784	NM_023037
HGNC:39725	FRY-AS1	FRY antisense RNA 1	Approved			13q13.1	BC035084	
HGNC:3994	FTH1P7	ferritin heavy chain 1 pseudogene 7	Approved	FTHL7		13q12.12		NR_002202
HGNC:37956	FTLP8	ferritin light chain pseudogene 8	Approved			13q32.2		
HGNC:37697	GAMTP2	guanidinoacetate N-methyltransferase pseudogene 2	Approved			13q13.2		
HGNC:37774	GAPDHP22	glyceraldehyde 3 phosphate dehydrogenase pseudogene 22	Approved			13q32.3		NG_011332
HGNC:37786	GAPDHP34	glyceraldehyde 3 phosphate dehydrogenase pseudogene 34	Approved			13q13.3		NG_011461
HGNC:38558	GAPDHP52	glyceraldehyde 3 phosphate dehydrogenase pseudogene 52	Approved			13q12.11		NG_024895
HGNC:4147	GAPDHP69	glyceraldehyde 3 phosphate dehydrogenase pseudogene 69	Approved	GAPDL14, GAPDHL14		13q12.3		NG_009332
HGNC:4168	GAS6	growth arrest specific 6	Approved	AXLLG	AXSF, FLJ34709, DKFZp666G247	13q34		NM_000820
HGNC:39826	GAS6-AS1	GAS6 antisense RNA 1	Approved			13q34		
HGNC:43694	GAS6-AS2	GAS6 antisense RNA 2 (head to head)	Approved		FLJ44054	13q34	AK126042	NR_024609
HGNC:25100	GGACT	gamma-glutamylamine cyclotransferase	Approved	A2LD1		13q32.3		NM_033110
HGNC:33207	GGT4P	gamma-glutamyltransferase 4 pseudogene	Approved			13q11		XR_038677
HGNC:4277	GJA3	gap junction protein alpha 3	Approved	CZP3	CX46	13q12.11	AF075290	NM_021954
HGNC:4284	GJB2	gap junction protein beta 2	Approved	DFNB1, DFNA3	CX26, NSRD1	13q12.11	M86849	
HGNC:4288	GJB6	gap junction protein beta 6	Approved	DFNA3, ED2	EDH, HED, CX30	13q12.11	AJ005585	
HGNC:33554	GNG5P5	G protein subunit gamma 5 pseudogene 5	Approved			13q14.2		NG_006564
